JobTitle,Salary,CompanyName,CompanyRating,JobLocation,Summary,Date
Senior Machine Learning Engineer,1500000 - 3000000 a year,IDfy ( Baldor Technologies Private Limited),nan,"Mumbai, Maharashtra",Our ideal candidate is someone with 6-20 years of experience in data science.,7 days ago
Data Science Manager,nan,PayPal,3.9,"Chennai, Tamil Nadu","Assess, inspire and motivate a high performing team of data science professionals.",Today
Data Science part time job/internship at Navi Mumbai,20000 a month,Candies Studio,nan,"Navi Mumbai, Maharashtra",Streamline all social media and external data into a data lake 4.,9 days ago
Manager- Data Science,nan,Merkle Sokrati,3.8,"Pune, Maharashtra",3+ years core data science/analytics experience.,30+ days ago
Data Science Internship,18000 a month,Draup,4.0,"Bengaluru, Karnataka",Work on the instructed textual data 3.,7 days ago
Data Scientist - GoMerchant,nan,GO-JEK,nan,"Bengaluru, Karnataka",Gojek-Merchants data science team works on a broad range of data science problems (i.e. from cost saving to revenue generation problems).,17 days ago
Director of Data Science,nan,TaskUs,nan,"Indore, Madhya Pradesh",You will use data science techniques to develop predictive models.,30+ days ago
Data Scientist 2,nan,Microsoft,4.2,"Noida, Uttar Pradesh",3+ years of hands-on experience with data science or analytics in a business context.,13 days ago
Data Scientist,nan,Intertrust,nan,India,3+ yrs exp in data science.,30+ days ago
BD Manager Academic Relationships - GMU Learn,700000 - 1000000 a year,GetMyUni,3.8,"Bengaluru, Karnataka",Undergrad degree in any field [engineering/commerce/arts/science].,1 day ago
Data Scientist / Data Analyst,nan,Altimetrik Corp,nan,"Bengaluru, Karnataka","3+ years of data science,.",16 days ago
Manufacturing Intelligence: Process Informatics & Data Analytics Team Leader,nan,Pfizer,4.2,"Sholinganallur, Chennai, Tamil Nadu","Hands-on experience in key technical areas, including process analytics and control, data science, advanced multivariate data analysis, machine learning and…",1 day ago
Data Scientist,500000 a year,offshore software solutions,nan,"Mohali, Punjab",Supervising the data acquisition process if more data is needed.,29 days ago
"Director, Data Science",nan,Conduent,2.7,"Bengaluru, Karnataka","Ability to communicate complex data solutions across the company, and to coach the team in connecting data science problem-solving with product development.",30+ days ago
Customer Engineer - Analytics,nan,Microsoft,4.2,"Bengaluru, Karnataka",Business intelligence – combining knowledge of SSIS/SSAS/SSRS/AAS/Azure Data Factory/Power BI technologies with a deep understanding of data structure / data…,Today
Data Science Analyst,nan,Tonik Digital Bank,nan,"Chennai, Tamil Nadu",Ø 2-5 years of data science / analytics related experience in a retail bank / consumer finance / e-commerce.,18 days ago
Data Analyst,nan,Legalwiz,nan,India,Present information using different data visualization techniques.,18 days ago
Data Scientist (Intern),nan,AIChunks,nan,"Sector 22 Chandigarh, Chandigarh",Graduates in the field of Computer Science and have basic Knowledgwe of Machine Learning and AI.,30+ days ago
Data Engineer - Operations Digital Assets,nan,McKinsey & Company,4.3,"Gurgaon, Haryana",Our team has a mix of data engineering and data science expertise with a successful track record of tech-enabling new and existing solutions by bringing cutting…,7 days ago
Python and DAta SCIENCE Developer,nan,A2IT,3.3,"Mohali, Punjab",A2IT is a leading software development company in Mohali Chandigarh with expertise in both Cloud-based Applications and Web applications.,30+ days ago
Data Science/ Machine Learning,nan,Connect Infosoft Technologies,nan,"Faridabad, Haryana",Answer complex business questions by using appropriate statistical techniques on available data or designing and running experiments to gather data.,30+ days ago
"ANALYST, PRODUCT DATA",nan,Rockwell Automation,3.9,"Bengaluru, Karnataka",Monitor and support data integrations.,1 day ago
Data Scientist - 1120-CN-200,nan,RELX Group,4.1,"Chennai, Tamil Nadu",Industry experience in ML and large-scale data mining is a big bonus.,9 days ago
Data Scientist,nan,Spericorn Technology,nan,"Technopark, Kerala",Must have minimum 1+ years’ experience in data science.,22 days ago
"Manager, Data Science",nan,Epsilon India,3.8,"Bengaluru, Karnataka","Prioritizing, planning and delivering data science projects to create business impact while setting a high bar for scientific rigor.",Today
Machine Learning Engineer,700000 - 1200000 a year,Regent Climate Connect Knowledge Solutions Private...,nan,"Pune, Maharashtra",Knowledgeable. You are constantly researching and always up-to-date with all recent advancements in data sciences.,18 days ago
Data Science Engineer,nan,Inspirisys Solutions,3.3,"Chennai, Tamil Nadu","Apply design and data analysis techniques to organize the presentation of data in visually innovative ways in order to make it easier to understand, insightful,…",17 days ago
Manager- Data Science (Marketplace),nan,GO-JEK,nan,"Bengaluru, Karnataka",Able to tell a coherent data narrative using visualization tools and able to set best practices in data visualization to convey a product insight through…,17 days ago
Python / Data Science - Architect,nan,Career Soft Solutions,nan,"Chennai, Tamil Nadu",Leads the organizations planning for the future of the data model and data architecture.,30+ days ago
Graduate Engineer,nan,ABB,4.0,"Bengaluru, Karnataka",The ABB Ability™ Genix Industrial Analytics and AI Suite has been designed to unlock the value of data by combining ABB's deep industrial domain expertise with…,1 day ago
Senior Big Data Engineer (Data Science/ML),nan,Integral Ad Science,nan,"Pune, Maharashtra",Architect and build data pipelines and data stores specialized for data science needs.,3 days ago
Data Engineer: Advanced Analytics,nan,IBM,3.9,Bihar,"IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.",8 days ago
Data Science - Consultant,nan,TheMathCompany,nan,"Bengaluru, Karnataka",A Consultant of TheMathCompany is the face of the organization in our client engagements.,30+ days ago
Network Design & Data Analytics,nan,Dell Technologies,4.0,"Bengaluru, Karnataka","Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte…",Today
Data Analytics Internship,18000 a month,SagasIT Analytics,nan,"Bengaluru, Karnataka","We excel in data engineering, data science, and visual analytics.",10 days ago
Food Scientist,25000 - 50000 a month,Valcore Foods,nan,"Mohali, Punjab",Market research/ data collection and processing.,12 days ago
Artificial Intelligence / Data Science/ Machine Learning,350000 - 500000 a year,TATA ELXSI LTD.,3.8,India,TATA ELXSI Ltd. is conducting off campus drive across India for BE/B.,30+ days ago
Data Scientist,nan,Agnik,nan,India,AGNIK is hiring a Data Science Intern with some background in the following areas and strong motivation.,30+ days ago
Associate Data Scientist-(H/F),nan,Société Générale,3.9,"Chennai, Tamil Nadu","Develop, process, cleanse and enhance data collection procedures from multiple data sources.",30+ days ago
